"gene","atlas","tissue","compartment","pct_cells_detected","n_cells","qualifying"
"IL6","GSE125449","liver_biliary","myeloid",0.0319148936170213,752,TRUE
"SOCS3","GSE125449","liver_biliary","myeloid",0.5,752,TRUE
"ACVR1B","GSE125449","liver_biliary","myeloid",0.0159574468085106,752,TRUE
"ACVRL1","GSE125449","liver_biliary","myeloid",0.0412234042553191,752,TRUE
"BAK1","GSE125449","liver_biliary","myeloid",0.126329787234043,752,TRUE
"CBL","GSE125449","liver_biliary","myeloid",0.106382978723404,752,TRUE
"CCL7","GSE125449","liver_biliary","myeloid",NA,752,TRUE
"CCR1","GSE125449","liver_biliary","myeloid",0.162234042553191,752,TRUE
"CD14","GSE125449","liver_biliary","myeloid",0.543882978723404,752,TRUE
"CD36","GSE125449","liver_biliary","myeloid",0.210106382978723,752,TRUE
"CD38","GSE125449","liver_biliary","myeloid",0.140957446808511,752,TRUE
"CD44","GSE125449","liver_biliary","myeloid",0.663563829787234,752,TRUE
"CD9","GSE125449","liver_biliary","myeloid",0.336436170212766,752,TRUE
"CNTFR","GSE125449","liver_biliary","myeloid",0,752,TRUE
"CRLF2","GSE125449","liver_biliary","myeloid",NA,752,TRUE
