"gene","atlas","tissue","f_at_0.30","f_at_0.50","f_at_0.70","ci_lo_0.30","ci_hi_0.30","evaluable","dominant","dominant_50","dom_rate","dom_rate_lo","dom_rate_hi","dom_n_eval","dom50_rate","origin_six","in_panel","qualifying"
"FGL1","GSE125449","liver_biliary",0.865555919553939,0.937586152782389,0.972261928473382,0.52788864922081,0.992724371778508,TRUE,TRUE,TRUE,0.9805,1,1,2000,0.9985,FALSE,TRUE,TRUE
"FOS","GSE125449","liver_biliary",0.176819378512631,0.333866468020648,0.539057472737503,0.0950694121372201,0.404125595404681,TRUE,FALSE,FALSE,0.0015,0,0,2000,0.1245,FALSE,TRUE,TRUE
"GFAP","GSE125449","liver_biliary",0.638028431311689,0.804414181732801,0.905630452022205,0.129121221537028,0.866596463747048,TRUE,TRUE,TRUE,0.953299492385787,0,1,985,1,FALSE,TRUE,TRUE
"GREB1","GSE125449","liver_biliary",0.700265929700025,0.844993564199995,0.927112667123322,0.270383355185537,0.889236690988197,TRUE,TRUE,TRUE,0.766,0,1,2000,0.959,FALSE,TRUE,TRUE
"HSPA4","GSE125449","liver_biliary",0.480599644977346,0.683446791280228,0.834374803456924,0.326166605821414,0.633636246938669,TRUE,FALSE,TRUE,0.4105,0,1,2000,0.9895,FALSE,TRUE,TRUE
"HSPB1","GSE125449","liver_biliary",0.46569779021315,0.67037313009356,0.825947036597668,0.253681352382773,0.705645926573851,TRUE,FALSE,TRUE,0.4495,0,1,2000,0.9385,FALSE,TRUE,TRUE
"ICAM1","GSE125449","liver_biliary",0.305084769407402,0.506024124263326,0.705035994416271,0.13631332644775,0.609903730696325,TRUE,FALSE,TRUE,0.163,0,1,2000,0.5565,FALSE,TRUE,TRUE
"IKBKE","GSE125449","liver_biliary",0.464311528731478,0.669140625,0.82514450867052,0.266957319128725,0.635140551361795,TRUE,FALSE,TRUE,0.3615,0,1,2000,0.9425,FALSE,TRUE,TRUE
"JAK2","GSE125449","liver_biliary",0.282965646641612,0.479386592606238,0.682394408810359,0.177931741087398,0.404037118651467,TRUE,FALSE,FALSE,5e-04,0,0,2000,0.356,FALSE,TRUE,TRUE
"JUNB","GSE125449","liver_biliary",0.0913257710791314,0.189962205940139,0.353667262677595,0.0463778910199598,0.2317124673123,TRUE,FALSE,FALSE,0,0,0,2000,0.0035,FALSE,TRUE,TRUE
"KRT17","GSE125449","liver_biliary",0.985854205174954,0.993888112211754,0.997371439251701,0.947117844789317,0.995497330695316,TRUE,TRUE,TRUE,1,1,1,2000,1,FALSE,TRUE,TRUE
"LEP","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"LGALS3BP","GSE125449","liver_biliary",0.635808509971774,0.802899451435225,0.904806836471635,0.425142110412375,0.809354143560941,TRUE,TRUE,TRUE,0.898,0,1,2000,0.9985,FALSE,TRUE,TRUE
"LTBP1","GSE125449","liver_biliary",0.197224839984819,0.364373330812318,0.572207994655384,0.0774804515084441,0.416501774126632,TRUE,FALSE,FALSE,0.007,0,0,2000,0.1315,FALSE,TRUE,TRUE
"MCL1","GSE125449","liver_biliary",0.297258583652568,0.49672786598479,0.697244193532759,0.216323394664975,0.429790866234818,TRUE,FALSE,FALSE,0.002,0,0,2000,0.5365,FALSE,TRUE,TRUE
"MDC1","GSE125449","liver_biliary",0.465247771659959,0.669973333333333,0.825686867359011,0.377729766434399,0.581079596014486,TRUE,FALSE,TRUE,0.2495,0,1,2000,1,FALSE,TRUE,TRUE
"MMP1","GSE125449","liver_biliary",0.82457354312705,0.916440966997693,0.962393342462867,0.425339054911164,0.943928397683142,TRUE,TRUE,TRUE,0.953,0,1,2000,0.9935,FALSE,TRUE,TRUE
"MMP7","GSE125449","liver_biliary",0.979881879544691,0.991277675938514,0.996243136211697,0.841876207001056,0.997015590923695,TRUE,TRUE,TRUE,1,1,1,2000,1,FALSE,TRUE,TRUE
"MUC1","GSE125449","liver_biliary",0.982658433159379,0.992493514658426,0.996769076063227,0.950561513869479,0.994652559159568,TRUE,TRUE,TRUE,1,1,1,2000,1,FALSE,TRUE,TRUE
"NME1","GSE125449","liver_biliary",0.679662551209067,0.831951192685282,0.920328385560304,0.577621545583127,0.767766126709891,TRUE,TRUE,TRUE,1,1,1,2000,1,FALSE,TRUE,TRUE
"OAS1","GSE125449","liver_biliary",0.445151324116093,0.651812704788077,0.813712295146861,0.254122554480831,0.647114009549799,TRUE,FALSE,TRUE,0.29,0,1,2000,0.893,FALSE,TRUE,TRUE
"OPRM1","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"PAX3","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"PHB","GSE125449","liver_biliary",0.612682857040667,0.78682651233292,0.895967362309744,0.50270316885193,0.723043373430895,TRUE,TRUE,TRUE,0.9765,1,1,2000,1,FALSE,TRUE,TRUE
"POU2F1","GSE125449","liver_biliary",0.403905242603986,0.612558248684166,0.786738428417653,0.280125535522483,0.58144780985401,TRUE,FALSE,TRUE,0.132,0,1,2000,0.9425,FALSE,TRUE,TRUE
"PPARA","GSE125449","liver_biliary",0.574961816015067,0.759405415208528,0.880452304744994,0.388562421712292,0.723452009040563,TRUE,TRUE,TRUE,0.782,0,1,2000,0.9975,FALSE,TRUE,TRUE
"PRDM1","GSE125449","liver_biliary",0.0251008886146939,0.0566720484016247,0.122944739314267,0.00794544439508591,0.087034947797587,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"PROS1","GSE125449","liver_biliary",0.561984028502377,0.749606724253944,0.874770528984544,0.376953210189358,0.766802053920068,TRUE,TRUE,TRUE,0.7285,0,1,2000,0.9975,FALSE,TRUE,TRUE
"PSMB5","GSE125449","liver_biliary",0.589117954471825,0.769877229173829,0.886443408186696,0.448786073111775,0.752700171587519,TRUE,TRUE,TRUE,0.8775,0,1,2000,1,FALSE,TRUE,TRUE
"PTGS2","GSE125449","liver_biliary",0.104929748216587,0.214786138582825,0.389594882729211,0.0258621774155572,0.261697766622124,TRUE,FALSE,FALSE,5e-04,0,0,2000,0.014,FALSE,TRUE,TRUE
"PTPN6","GSE125449","liver_biliary",0.183805449628256,0.344460976295971,0.550779535838777,0.124028810610536,0.263427828810534,TRUE,FALSE,FALSE,0,0,0,2000,0.0015,FALSE,TRUE,TRUE
