gene,origin_score,via_A_hallmark,criterion_B_human,route_human,n_independent_human,n_independent_incl_mouse,ENCODE_ChIP-seq,ReMap_ChIP-seq,Literature_ChIP-seq_human,Literature_ChIP-seq_mouse,TRRUST_v2_curated
ENTPD7,False,False,True,B_only,2,3,True,False,True,True,False
EPAS1,False,False,True,B_only,2,3,False,True,False,True,True
EPM2A,False,False,True,B_only,2,2,True,False,True,False,False
ERCC5,False,False,True,B_only,2,2,True,False,True,False,False
ERGIC1,False,False,True,B_only,3,3,True,True,True,False,False
ERI1,False,False,True,B_only,2,2,True,False,True,False,False
ESR2,False,False,True,B_only,3,4,True,False,True,True,True
ESYT3,False,False,True,B_only,2,3,True,False,True,True,False
ETFDH,False,False,True,B_only,2,2,True,False,True,False,False
ETV6,False,False,True,B_only,3,4,True,False,True,True,True
EXD3,False,False,True,B_only,3,3,True,True,True,False,False
EXOC4,False,False,True,B_only,2,2,True,False,True,False,False
EXOC6B,False,False,True,B_only,2,2,True,False,True,False,False
EXOC7,False,False,True,B_only,2,2,True,False,True,False,False
EXOSC4,False,False,True,B_only,2,2,True,True,False,False,False
FAM114A1,False,False,True,B_only,2,2,True,False,True,False,False
FAM126A,False,False,True,B_only,2,2,True,False,True,False,False
FAM126B,False,False,True,B_only,2,2,True,False,True,False,False
FAM129B,False,False,True,B_only,2,2,True,True,False,False,False
FAM13A,False,False,True,B_only,2,2,True,False,True,False,False
FAM200B,False,False,True,B_only,2,2,True,True,False,False,False
FAM83A,False,False,True,B_only,2,2,True,True,False,False,False
FAM84B,False,False,True,B_only,2,3,True,False,True,True,False
FAM89A,False,False,True,B_only,2,2,True,False,True,False,False
FARSA,False,False,True,B_only,2,2,True,True,False,False,False
FAU,False,False,True,B_only,2,2,True,True,False,False,False
FBXO31,False,False,True,B_only,2,2,False,True,True,False,False
FBXW11,False,False,True,B_only,2,3,True,False,True,True,False
FBXW9,False,False,True,B_only,2,2,True,True,False,False,False
FERMT3,False,False,True,B_only,2,2,True,True,False,False,False
FGG,False,False,True,B_only,2,2,False,False,True,False,True
FGGY,False,False,True,B_only,2,3,True,False,True,True,False
FGL1,False,False,True,B_only,2,2,True,False,False,False,True
FHIT,False,False,True,B_only,2,2,True,False,True,False,False
